<meta message track_name name='Track 2' time=0>
<meta message instrument_name name='Galaxy Steinway 5.1 1' time=0>
<meta message key_signature key='Eb' time=0>
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=432
note_on channel=0 note=55 velocity=80 time=48
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=432
note_on channel=0 note=55 velocity=80 time=48
note_off channel=0 note=55 velocity=64 time=432
note_on channel=0 note=48 velocity=80 time=48
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=432
note_on channel=0 note=50 velocity=80 time=48
note_off channel=0 note=50 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=60 velocity=80 time=48
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=432
note_on channel=0 note=55 velocity=80 time=48
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=71 velocity=80 time=24
note_off channel=0 note=71 velocity=64 time=432
note_on channel=0 note=55 velocity=80 time=48
note_off channel=0 note=55 velocity=64 time=432
note_on channel=0 note=48 velocity=80 time=48
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=432
note_on channel=0 note=60 velocity=80 time=48
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=60 velocity=80 time=48
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=63 velocity=80 time=48
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=432
note_on channel=0 note=60 velocity=80 time=48
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=72 velocity=80 time=24
note_off channel=0 note=72 velocity=64 time=216
note_on channel=0 note=74 velocity=80 time=24
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=75 velocity=80 time=24
note_off channel=0 note=75 velocity=64 time=432
note_on channel=0 note=67 velocity=80 time=48
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=56 velocity=80 time=48
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=58 velocity=80 time=48
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=432
note_on channel=0 note=58 velocity=80 time=48
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=56 velocity=80 time=48
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=432
note_on channel=0 note=58 velocity=80 time=48
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=59 velocity=80 time=24
note_off channel=0 note=59 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=50 velocity=80 time=24
note_off channel=0 note=50 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=432
note_on channel=0 note=46 velocity=80 time=48
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=432
note_on channel=0 note=51 velocity=80 time=48
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=432
note_on channel=0 note=44 velocity=80 time=48
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=46 velocity=80 time=24
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=44 velocity=80 time=24
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=46 velocity=80 time=24
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=55 velocity=80 time=24
note_off channel=0 note=55 velocity=64 time=216
note_on channel=0 note=44 velocity=80 time=24
note_off channel=0 note=44 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=46 velocity=80 time=24
note_off channel=0 note=46 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
note_on channel=0 note=51 velocity=80 time=24
note_off channel=0 note=51 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=62 velocity=80 time=24
note_off channel=0 note=62 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_off channel=0 note=60 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=72 velocity=80 time=24
note_off channel=0 note=72 velocity=64 time=216
note_on channel=0 note=67 velocity=80 time=24
note_off channel=0 note=67 velocity=64 time=216
note_on channel=0 note=56 velocity=80 time=24
note_off channel=0 note=56 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=68 velocity=80 time=24
note_off channel=0 note=68 velocity=64 time=216
note_on channel=0 note=63 velocity=80 time=24
note_off channel=0 note=63 velocity=64 time=216
note_on channel=0 note=58 velocity=80 time=24
note_off channel=0 note=58 velocity=64 time=216
note_on channel=0 note=65 velocity=80 time=24
note_off channel=0 note=65 velocity=64 time=216
